order_id,order_date,item,item_id,item_quantity,item_price,item_description,city,country,order_status
1,05/22/2025,Chocolate Chip Muffins,1,1,"€32,87",Fresh baked chocolate chip muffins for breakfast.,Wuppertal,Germany,canceled
2,04/17/2025,Electric Griddle with Lid,2,2,"€41,57","Non-stick griddle for pancakes, burgers, and more.",Aachen,Germany,shipped
3,09/27/2025,Pet Carrier Backpack,3,3,"€85,57",Comfortable and breathable backpack for carrying small pets.,Köln,Germany,returned
4,04/30/2026,Cinnamon Apple Sauce,4,4,"€119,14",Delicious apple sauce with a hint of cinnamon,Osnabrück,Germany,returned
5,08/23/2025,Roasted Garlic Aioli,5,5,"€16,96",Flavored aioli made with roasted garlic,Dresden,Germany,returned
6,09/15/2025,Self-Adhesive Wallpaper,6,6,"€48,53",Peel and stick wallpaper for easy home decor changes.,Hamburg,Germany,shipped
7,11/10/2025,Kids' Crafting Station,7,7,"€52,24",Complete station with supplies for kids' art projects.,Hamburg Harvestehude,Germany,canceled
8,04/07/2026,Foldable Picnic Table,8,8,"€57,53",Lightweight and portable picnic table for outdoor use.,Düsseldorf,Germany,returned
9,07/15/2025,Wireless Security System,9,9,"€25,25",Comprehensive camera and alert system for home security.,Berlin,Germany,shipped
10,05/10/2025,Spaghetti and Meatball Dinner Kit,10,10,"€16,60","All-in-one meal kit including pasta, meatballs, and sauce for a quick dinner.",Bochum,Germany,shipped
11,09/14/2025,Electric Air Pump,11,11,"€14,22",Fast and convenient air pump for inflating toys and furniture.,Cottbus,Germany,proceed
12,12/10/2025,Almond Quinoa Salad,12,12,"€107,27","Healthy salad made with quinoa, almonds, and mixed greens, perfect for a light meal.",Neuss,Germany,proceed
13,07/22/2025,Whisk Set,13,13,"€14,42",Set of whisks in various sizes for cooking.,Braunschweig,Germany,shipped
14,07/23/2025,Car Windshield Sun Shade,14,14,"€45,51",Protects car interior from sun damage and heat.,Heilbronn,Germany,returned
15,11/03/2025,Corn Tortillas,15,15,"€71,77","Soft and warm corn tortillas, perfect for tacos and burritos.",München,Germany,returned
16,07/02/2025,Portable Hand Warmer,16,16,"€47,97",Rechargeable hand warmer for cold weather comfort.,Hamburg,Germany,returned
17,06/17/2025,Adjustable Dumbbells,17,17,"€94,26",Space-saving adjustable dumbbells for strength training.,Bremerhaven,Germany,returned
18,04/30/2025,Basketball,18,18,"€24,34",Official size basketball for indoor and outdoor play.,Nürnberg,Germany,canceled
